index,term,TF,IDF,TF-IDF
562,aguardaba,0.000019,1.871802,0.000036
563,aguardaban,0.000026,1.871802,0.000048
564,aguardando,0.000019,1.871802,0.000036
565,aguardar,0.000071,1.871802,0.000133
566,aguardare,0.000006,1.871802,0.000012
567,aguardarle,0.000006,1.871802,0.000012
568,aguardase,0.000032,1.871802,0.000060
569,aguardasen,0.000006,1.871802,0.000012
570,aguarde,0.000006,1.871802,0.000012
571,aguardes,0.000006,1.871802,0.000012
572,aguardo,0.000026,1.871802,0.000048
573,aguas,0.000084,1.871802,0.000157
574,aguda,0.000013,1.871802,0.000024
575,agudezas,0.000006,1.871802,0.000012
576,agudo,0.000019,1.871802,0.000036
577,agudos,0.000006,1.871802,0.000012
578,aguija,0.000006,1.871802,0.000012
579,aguijo,0.000006,1.871802,0.000012
580,aguilar,0.000019,1.871802,0.000036
581,aguja,0.000006,1.871802,0.000012
582,agujero,0.000064,1.871802,0.000121
583,agujeros,0.000019,1.871802,0.000036
584,aguo,0.000006,1.871802,0.000012
585,ah,0.000090,1.871802,0.000169
586,ahead,0.000000,0.773190,0.000000
587,ahechado,0.000006,1.871802,0.000012
588,ahechando,0.000006,1.871802,0.000012
589,ahi,0.000264,1.871802,0.000495
590,ahijado,0.000006,1.871802,0.000012
591,ahincadas,0.000006,1.871802,0.000012
592,ahitarse,0.000006,1.871802,0.000012
593,ahoga,0.000006,1.871802,0.000012
594,ahogado,0.000006,1.871802,0.000012
595,ahogalle,0.000006,1.871802,0.000012
596,ahogando,0.000006,1.871802,0.000012
597,ahogara,0.000006,1.871802,0.000012
598,ahogo,0.000013,1.871802,0.000024
599,ahondar,0.000006,1.871802,0.000012
600,ahora,0.001315,1.871802,0.002462
601,ahorcaba,0.000006,1.871802,0.000012
602,ahorcado,0.000006,1.871802,0.000012
603,ahorcar,0.000006,1.871802,0.000012
604,ahorcarse,0.000006,1.871802,0.000012
605,ahorrado,0.000006,1.871802,0.000012
606,ahorrar,0.000019,1.871802,0.000036
607,ahorraran,0.000006,1.871802,0.000012
608,ahorrare,0.000006,1.871802,0.000012
609,ahorro,0.000013,1.871802,0.000024
610,ain,0.000000,1.871802,0.000000
611,aina,0.000006,1.871802,0.000012
612,air,0.000000,0.167054,0.000000
613,airada,0.000006,1.871802,0.000012
614,airado,0.000006,1.871802,0.000012
615,aire,0.000097,1.871802,0.000181
616,aires,0.000052,1.871802,0.000097
617,ajedrez,0.000006,1.871802,0.000012
